"trim_name","position","stdev","adp"
"AARONJONES","RB",7.7,"89.5"
"AARONRODGERS","QB",5.9,"29.9"
"ADAMHUMPHRIES","WR",20,"309.7"
"ADAMSHAHEEN","TE",20,"302.0"
"ADAMTHIELEN","WR",4.5,"36.2"
"ADAMVINATIERI","K",20,"236.4"
"AJGREEN","WR",2.3,"22"
"AJMCCARRON","QB",20,"254.7"
"ALBERTWILSON","WR",20,"255.3"
"ALEXCOLLINS","RB",3.7,"29.5"
"ALEXSMITH","QB",9.6,"139.6"
"ALFREDBLUE","RB",20,"333.0"
"ALFREDMORRIS","RB",20,"278.0"
"ALLENHURNS","WR",7.6,"110"
"ALLENROBINSON","WR",5.6,"52.5"
"ALSHONJEFFERY","WR",5.8,"52.5"
"ALVINKAMARA","RB",1.6,"7"
"AMARICOOPER","WR",4.3,"37.3"
"AMEERABDULLAH","RB",20,"275.0"
"ANDREWLUCK","QB",8.4,"84.9"
"ANDYDALTON","QB",20,"199.3"
"ANTHONYMILLER","WR",14.4,"159.4"
"ANTONIOBROWN","WR",1.6,"6.4"
"ANTONIOCALLAWAY","WR",20,"249.0"
"ARIZONACARDINALS","DST",20,"238.0"
"ATLANTAFALCONS","DST",20,"243.8"
"AUDENTATE","WR",20,"344.0"
"AUSTINEKELER","RB",20,"184.5"
"AUSTINHOOPER","TE",20,"225.7"
"AUSTINSEFERIANJENKINS","TE",17.2,"157.7"
"BAKERMAYFIELD","QB",20,"173.3"
"BALTIMORERAVENS","DST",20,"153.0"
"BENJAMINWATSON","TE",20,"221.5"
"BENNIEFOWLER","WR",20,"319.0"
"BENROETHLISBERGER","QB",10,"114.8"
"BILALPOWELL","RB",17.1,"157.3"
"BLAKEBORTLES","QB",12.7,"162.3"
"BLAKEJARWIN","TE",20,"186.0"
"BOSCARBROUGH","RB",20,"284.3"
"BOSTONSCOTT","RB",20,"330.5"
"BRANDINCOOKS","WR",4.7,"44"
"BRANDONMARSHALL","WR",20,"266.3"
"BRANDONMCMANUS","K",20,"253.7"
"BRANDONZYLSTRA","WR",20,"234.0"
"BRAXTONBERRIOS","WR",20,"325.0"
"BRICEBUTLER","WR",20,"316.7"
"BRUCEELLINGTON","WR",20,"276.0"
"BUFFALOBILLS","DST",20,"284.5"
"CAIROSANTOS","K",20,"173.0"
"CALEBSTURGIS","K",20,"323.0"
"CALVINRIDLEY","WR",9.4,"123.2"
"CAMERONARTISPAYNE","RB",20,"265.0"
"CAMERONBRATE","TE",12.8,"163.3"
"CAMERONMEREDITH","WR",8.1,"126.9"
"CAMNEWTON","QB",7.9,"75.3"
"CARLOSHYDE","RB",9.2,"78.4"
"CAROLINAPANTHERS","DST",20,"199.0"
