"player_name","player_id","pos","season","team","analyst_.1","analyst_3","analyst_4","analyst_5","analyst_7","analyst_9","proj_count","avg_proj"
"Jerome Felton",230,"RB",2018,"BUF",0,0,0,0,0,0,0,0
"Matt Forte",234,"RB",2018,"FA",0,0,0,0,0,0,0,0
"Chad Henne",252,"QB",2018,"KC",0.04,11.55,1.26,4.5868,2.74,4.656,6,4.1388
"Matt Ryan",310,"QB",2018,"ATL",285.76,323.28,323.339,317.2086,304.575,308.454,6,310.4361
"Joe Flacco",382,"QB",2018,"BAL",227.3,176.76,235.337,243.6852,250.825,237.984,6,228.648533333333
"Justin Forsett",927,"RB",2018,"DEN",0,0,0,0,0,0,0,0
"Jonathan Stewart",949,"RB",2018,"NYG",0,49.72,51.73,56.284,41.59,41.57,5,48.1788
"Jordy Nelson",1032,"WR",2018,"OAK",103.4,103,115.155,74.936,90.795,103.34,6,98.4376666666667
"Gary Barnidge",1060,"TE",2018,"FA",0,0,0,0,0,0,0,0
"Martellus Bennett",1062,"TE",2018,"FA",0,0,0,0,0,0,0,0
"DeSean Jackson",1581,"WR",2018,"TB",86.2,109.18,93.16,103.972,96.19,93.02,6,96.9536666666667
"Eddie Royal",1990,"WR",2018,"CHI",0,0,0,0,0,0,0,0
"Pierre Garcon",2346,"WR",2018,"SF",115.4,123.9,117.275,111.944,102.645,110.8,6,113.660666666667
"Danny Amendola",2649,"WR",2018,"MIA",57.3,68.8,82.01,129.606,92.88,75.07,6,84.2776666666667
"Danny Woodhead",4327,"RB",2018,"FA",0,0,0,0,0,0,0,0
"Matthew Slater",4487,"WR",2018,"NE",0,0,0,1.231,0,0,1,1.231
"Kenny Britt",71217,"WR",2018,"NE",52.3,80.2133333333333,23.1533333333333,44.97,23.6133333333333,30.39,6,42.44
"Chase Coffman",71255,"TE",2018,"IND",0,0,0,0,0,0,0,0
"Jared Cook",71265,"TE",2018,"OAK",80.6,75.2533333333333,75.5233333333333,85.688,70.9533333333333,75.58,6,77.2663333333333
"Michael Crabtree",71269,"WR",2018,"BAL",121.9,102.3,117.28,117.653,122.97,120.58,6,117.113833333333
"Graham Gano",71309,"K",2018,"CAR",0,0,0,0,0,0,0,0
"Rashad Jennings",71345,"RB",2018,"NYG",0,0,0,0,0,0,0,0
"Jordan Norwood",71417,"WR",2018,"DEN",0,0,0,0,0,0,0,0
"Josh Freeman",79557,"QB",2018,"IND",0,0,0,0,0,0,0,0
"LeSean McCoy",79607,"RB",2018,"BUF",162.7,180,195.89,198.007,131.03,162.58,6,171.701166666667
"Matthew Stafford",79860,"QB",2018,"DET",300.44,318.66,328.524,329.278,316.47,321.22,6,319.098666666667
"Percy Harvin",80425,"WR",2018,"FA",0,0,0,0,0,0,0,0
"Darrius HeywardBey",80427,"WR",2018,"PIT",7.6,0,6.46,0,11.7,12.65,4,9.6025
"Chase Daniel",81284,"QB",2018,"CHI",-0.02,3.904,1.148,5.5672,26.8,10.416,5,9.56304
"Brian Hoyer",81294,"QB",2018,"NE",0.7,12.97,1.552,9.7598,0.34,4.752,6,5.0123
"Mike Thomas",81308,"WR",2018,"LAR",10.4,0,2.08,8.9,0,8.96,4,7.585
"Brandon Myers",89766,"TE",2018,"TB",0,0,0,0,0,0,0,0
"Antone Smith",89798,"RB",2018,"TB",0,0,0,0,0,0,0,0
"Ryan Succop",89802,"K",2018,"TEN",0,0,0,0,0,0,0,0
"Zach Miller",238457,"TE",2018,"CHI",0,0,0,0,0,0,0,0
