"X1","analystId","analystName","siteId","season","weekly","sourceId","weight"
1,-1,"CBS Average",1,1,1,"avg",0.344
2,0,"Accuscore",0,1,0,NA,0.428
3,1,"Jamey Eisenberg",1,0,0,"jamey_eisenberg",0.403
4,2,"Dave Richard",1,0,0,"dave_richard",0.412
5,3,"Yahoo Sports",2,1,1,NA,0.4
6,4,"ESPN",3,1,1,NA,0.329
7,5,"NFL",4,1,1,NA,0.329
8,6,"FOX Sports",5,1,1,NA,0.301
9,7,"FFToday",6,1,1,NA,0.379
10,8,"NumberFire",7,1,1,NA,0.322
11,9,"FantasyPros",8,1,1,NA,0
12,10,"Dodds-Norton",9,0,1,"0",0.428
13,11,"David Dodds",9,1,0,"2",0.473
14,12,"Maurile Tremblay",9,1,1,"53",0.477
15,13,"Mike Herman",9,1,1,"60",0.428
16,14,"Bob Henry",9,1,0,"41",0.521
17,15,"Jason Wood",9,1,0,"50",0.505
18,16,"Sigmund Bloom",9,0,1,"107",0.428
19,17,"EDS Football",10,1,1,NA,0.362
20,18,"FantasySharks",11,1,1,NA,0.327
21,19,"FantasyFootballNerd",12,1,1,NA,0
22,20,"WalterFootball",13,1,0,NA,0.281
23,22,"Aaron Rudnicki",9,1,0,"40",0.428
24,23,"John Norton",9,1,0,"56",0.428
25,25,"4for4",16,1,1,NA,0.428
26,26,"Rotowire",17,1,1,NA,0.428
27,27,"RTSports.com",18,1,0,NA,0.33
28,28,"FantasyData",19,1,0,NA,0.428
29,29,"Pro Football Focus",20,1,1,NA,0.428
