"playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd","season"
100001,14,12,29,4,0,370,-1,"Falcons","DST",NA,NA,NA,NA,2015
100002,15,13,37,5,0,281,-1,"Ravens","DST",NA,NA,NA,NA,2015
100003,15,10,36,4,0,386,-1,"Bills","DST",NA,NA,NA,NA,2015
100004,14,14,41,4,1,361,-1,"Panthers","DST",NA,NA,NA,NA,2015
100005,11,8,40,4,0,394,-1,"Bears","DST",NA,NA,NA,NA,2015
100006,15,9,34,4,0,296,-1,"Bengals","DST",NA,NA,NA,NA,2015
100007,15,8,32,3,0,377,-1,"Browns","DST",NA,NA,NA,NA,2015
100008,12,14,33,4,0,325,-1,"Cowboys","DST",NA,NA,NA,NA,2015
100009,16,16,39,5,0,290,-1,"Broncos","DST",NA,NA,NA,NA,2015
100010,11,10,32,4,1,372,-1,"Lions","DST",NA,NA,NA,NA,2015
100011,15,10,34,4,1,341,-1,"Packers","DST",NA,NA,NA,NA,2015
100012,17,10,39,5,0,342,-1,"Titans","DST",NA,NA,NA,NA,2015
100013,17,11,36,5,0,305,-1,"Texans","DST",NA,NA,NA,NA,2015
100014,15,13,33,4,0,371,-1,"Colts","DST",NA,NA,NA,NA,2015
100015,15,11,38,4,0,391,-1,"Jaguars","DST",NA,NA,NA,NA,2015
100016,18,16,26,5,0,305,-1,"Chiefs","DST",NA,NA,NA,NA,2015
100018,17,16,27,5,0,357,-1,"Raiders","DST",NA,NA,NA,NA,2015
100019,17,11,30,5,0,376,-1,"Dolphins","DST",NA,NA,NA,NA,2015
100020,17,15,41,6,1,316,-1,"Vikings","DST",NA,NA,NA,NA,2015
100021,16,13,34,5,0,256,-1,"Patriots","DST",NA,NA,NA,NA,2015
100022,13,15,29,4,0,437,-1,"Saints","DST",NA,NA,NA,NA,2015
100023,16,13,30,5,0,301,-1,"Giants","DST",NA,NA,NA,NA,2015
100024,12,11,31,4,0,401,-1,"Jets","DST",NA,NA,NA,NA,2015
100025,16,16,34,5,0,351,-1,"Eagles","DST",NA,NA,NA,NA,2015
100026,15,15,44,5,0,316,-1,"Cardinals","DST",NA,NA,NA,NA,2015
100027,14,15,38,4,0,299,-1,"Steelers","DST",NA,NA,NA,NA,2015
100029,15,11,31,4,0,391,-1,"49ers","DST",NA,NA,NA,NA,2015
100030,14,12,40,4,0,274,-1,"Seahawks","DST",NA,NA,NA,NA,2015
100031,16,15,39,5,1,376,-1,"Buccaneers","DST",NA,NA,NA,NA,2015
