"name","pos","season","analyst_-1","analyst_4","analyst_5","analyst_7","analyst_9","trim_name"
"49ers","DST",2014,0,0,0,0,0,"49ERS"
"A.J. Green","WR",2012,173.8,169.4,163.2,163.8,165.91,"AJGREEN"
"A.J. Green","WR",2013,203.4,204.4,194,194,199,"AJGREEN"
"A.J. Green","WR",2014,194.8,199.6,216.3,190.7,194.52,"AJGREEN"
"A.J. Jenkins","WR",2012,0,0,0,9.6,24.26,"AJJENKINS"
"A.J. Jenkins","WR",2013,0,38.8,57.9,31.6,38.77,"AJJENKINS"
"A.J. Jenkins","WR",2014,18.1,0,57.2,23.9,37.71,"AJJENKINS"
"Aaron Brown","RB",2012,0,0,0,0,0,"AARONBROWN"
"Aaron Dobson","WR",2013,91.6,69.4,80.7,43.5,78.74,"AARONDOBSON"
"Aaron Dobson","WR",2014,57.7,91.2,114.3,28.5,68.8,"AARONDOBSON"
"Aaron Hernandez","TE",2012,129.4,121.3,120.7,135.5,127.04,"AARONHERNANDEZ"
"Aaron Hernandez","TE",2013,0,0,0,0,2,"AARONHERNANDEZ"
"Aaron Mellette","WR",2013,0,23.2,0,4.5,10.4,"AARONMELLETTE"
"Aaron Murray","QB",2014,0,0,0,0,0,"AARONMURRAY"
"Aaron Rodgers","QB",2012,0,470.08,448.78,465.46,466.6,"AARONRODGERS"
"Aaron Rodgers","QB",2013,431.74,436.26,414.68,414.7,423.154,"AARONRODGERS"
"Aaron Rodgers","QB",2014,421.26,429.62,410.08,413.2,420.38,"AARONRODGERS"
"Ace Sanders","WR",2013,0,0,59.1,25.9,38.93,"ACESANDERS"
"Ace Sanders","WR",2014,0,41.4,80.1,27.9,35.88,"ACESANDERS"
"Adam Thielen","WR",2014,11,0,0,0,8.25,"ADAMTHIELEN"
"Adam Vinatieri","K",2014,0,0,0,0,0,"ADAMVINATIERI"
"Adam Weber","QB",2012,0,0,0,0,0,"ADAMWEBER"
"Adam Weber","QB",2013,0,0,0,0,0,"ADAMWEBER"
"Adrian Arrington","WR",2012,0,0,0,5.4,21.09,"ADRIANARRINGTON"
"Adrian Peterson","RB",2012,187.8,180.1,193.6,178.1,188.13,"ADRIANPETERSON"
"Adrian Peterson","RB",2013,274.6,284,287.8,272.4,273.05,"ADRIANPETERSON"
"Adrian Peterson","RB",2014,218.6,255.4,252,242.2,237.08,"ADRIANPETERSON"
"Adrien Robinson","TE",2012,0,0,0,0,6.22,"ADRIENROBINSON"
"Adrien Robinson","TE",2013,0,0,0,20.1,15.63,"ADRIENROBINSON"
"Adrien Robinson","TE",2014,40.8,0,0,44.4,43.35,"ADRIENROBINSON"
"Ahmad Bradshaw","RB",2012,191.57,173.4,176.6,195.6,184.35,"AHMADBRADSHAW"
"Ahmad Bradshaw","RB",2013,147.7,130.7,171.2,125.3,141.18,"AHMADBRADSHAW"
"Ahmad Bradshaw","RB",2014,74,50.9,106.3,67.8,70.18,"AHMADBRADSHAW"
"Ahmard Hall","RB",2012,0,0,0,0,0,"AHMARDHALL"
"AJ McCarron","QB",2014,0,0,26.78,0,0,"AJMCCARRON"
