"playerId","fg","fgAtt","xp","fgMiss","analyst","player","position","games","fg0019","fg2029","fg3039","fg4049","fg50","fg0039","season"
71309,32.7,40.9,41.3,8.2,-1,"Graham Gano","K",NA,NA,NA,NA,NA,NA,NA,2015
89802,24.1,26.5,38.8,2.4,-1,"Ryan Succop","K",NA,NA,NA,NA,NA,NA,NA,2015
2495150,27.4,29.9,34.4,2.5,-1,"Kai Forbath","K",NA,NA,NA,NA,NA,NA,NA,2015
2495259,28.6,32.7,41.7,4.1,-1,"Dan Bailey","K",NA,NA,NA,NA,NA,NA,NA,2015
2500351,25.6,29.6,42.5,4,-1,"Phil Dawson","K",NA,NA,NA,NA,NA,NA,NA,2015
2503471,27.5,31.2,39.2,3.7,-1,"Adam Vinatieri","K",NA,NA,NA,NA,NA,NA,NA,2015
2504257,31.4,38.1,43.5,6.7,-1,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2015
2504797,34.7,38.3,49.4,3.59999999999999,-1,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2015
2506194,29.6,34.1,30.1,4.5,-1,"Nick Novak","K",NA,NA,NA,NA,NA,NA,NA,2015
2506264,22.3,24.2,31.4,1.9,-1,"Robbie Gould","K",NA,NA,NA,NA,NA,NA,NA,2015
2506386,23.1,28.8,32.1,5.7,-1,"Mike Nugent","K",NA,NA,NA,NA,NA,NA,NA,2015
2506677,27.4,31.3,33.3,3.9,-1,"Matt Prater","K",NA,NA,NA,NA,NA,NA,NA,2015
2506922,37.3,42.1,49.4,4.8,-1,"Stephen Gostkowski","K",NA,NA,NA,NA,NA,NA,NA,2015
2507225,27,31.3,37.9,4.3,-1,"Nick Folk","K",NA,NA,NA,NA,NA,NA,NA,2015
2507232,30.8,35.9,48.8,5.1,-1,"Mason Crosby","K",NA,NA,NA,NA,NA,NA,NA,2015
2507374,22.5,24.8,35.8,2.3,-1,"Steven Hauschka","K",NA,NA,NA,NA,NA,NA,NA,2015
2507463,22.4,28.2,31.7,5.8,-1,"Connor Barth","K",NA,NA,NA,NA,NA,NA,NA,2015
2532968,28.6,35.7,37.3,7.1,-1,"Blair Walsh","K",NA,NA,NA,NA,NA,NA,NA,2015
2533444,27.4,31.8,33.2,4.4,-1,"Randy Bullock","K",NA,NA,NA,NA,NA,NA,NA,2015
2534797,20.4,25.4,27.6,5,-1,"Greg Zuerlein","K",NA,NA,NA,NA,NA,NA,NA,2015
2536340,32.1,34.3,34.5,2.2,-1,"Justin Tucker","K",NA,NA,NA,NA,NA,NA,NA,2015
2539227,31.9,38.6,37.8,6.7,-1,"Dustin Hopkins","K",NA,NA,NA,NA,NA,NA,NA,2015
2539637,31.1,36.6,36.9,5.5,-1,"Caleb Sturgis","K",NA,NA,NA,NA,NA,NA,NA,2015
2541556,26.9,31.2,32.9,4.3,-1,"Brandon McManus","K",NA,NA,NA,NA,NA,NA,NA,2015
2550325,22.8,28.7,26.7,5.9,-1,"Chandler Catanzaro","K",NA,NA,NA,NA,NA,NA,NA,2015
2550380,19.6,24.6,25.3,5,-1,"Cody Parkey","K",NA,NA,NA,NA,NA,NA,NA,2015
2550545,30.6,34.3,42.1,3.7,-1,"Chris Boswell","K",NA,NA,NA,NA,NA,NA,NA,2015
2550636,28.2,32.3,38,4.1,-1,"Cairo Santos","K",NA,NA,NA,NA,NA,NA,NA,2015
2553648,19.4,24.6,33.5,5.2,-1,"Andrew Franks","K",NA,NA,NA,NA,NA,NA,NA,2015
2553833,29,35.7,39.2,6.7,-1,"Josh Lambo","K",NA,NA,NA,NA,NA,NA,NA,2015
71309,0,NA,0,NA,3,"Graham Gano","K",NA,0,0,0,0,0,NA,2015
89802,0,NA,0,NA,3,"Ryan Succop","K",NA,0,0,0,0,0,NA,2015
2495150,0,NA,0,NA,3,"Kai Forbath","K",NA,0,0,0,0,0,NA,2015
2495259,0,NA,0,NA,3,"Dan Bailey","K",NA,0,0,0,0,0,NA,2015
2500351,0,NA,0,NA,3,"Phil Dawson","K",NA,0,0,0,0,0,NA,2015
2503471,0,NA,0,NA,3,"Adam Vinatieri","K",NA,0,0,0,0,0,NA,2015
2504257,0,NA,0,NA,3,"Sebastian Janikowski","K",NA,0,0,0,0,0,NA,2015
2504797,0,NA,0,NA,3,"Matt Bryant","K",NA,0,0,0,0,0,NA,2015
2506194,0,NA,0,NA,3,"Nick Novak","K",NA,0,0,0,0,0,NA,2015
2506264,0,NA,0,NA,3,"Robbie Gould","K",NA,0,0,0,0,0,NA,2015
2506386,0,NA,0,NA,3,"Mike Nugent","K",NA,0,0,0,0,0,NA,2015
2506677,0,NA,0,NA,3,"Matt Prater","K",NA,0,0,0,0,0,NA,2015
2506922,0,NA,0,NA,3,"Stephen Gostkowski","K",NA,0,0,0,0,0,NA,2015
2507225,0,NA,0,NA,3,"Nick Folk","K",NA,0,0,0,0,0,NA,2015
2507232,0,NA,0,NA,3,"Mason Crosby","K",NA,0,0,0,0,0,NA,2015
2507374,0,NA,0,NA,3,"Steven Hauschka","K",NA,0,0,0,0,0,NA,2015
2507401,0,NA,0,NA,3,"Dan Carpenter","K",NA,0,0,0,0,0,NA,2015
2507463,0,NA,0,NA,3,"Connor Barth","K",NA,0,0,0,0,0,NA,2015
2532968,0,NA,0,NA,3,"Blair Walsh","K",NA,0,0,0,0,0,NA,2015
2533444,0,NA,0,NA,3,"Randy Bullock","K",NA,0,0,0,0,0,NA,2015
2534797,0,NA,0,NA,3,"Greg Zuerlein","K",NA,0,0,0,0,0,NA,2015
2536340,0,NA,0,NA,3,"Justin Tucker","K",NA,0,0,0,0,0,NA,2015
2539227,0,NA,0,NA,3,"Dustin Hopkins","K",NA,0,0,0,0,0,NA,2015
2539637,0,NA,0,NA,3,"Caleb Sturgis","K",NA,0,0,0,0,0,NA,2015
2541556,0,NA,0,NA,3,"Brandon McManus","K",NA,0,0,0,0,0,NA,2015
2542060,0,NA,0,NA,3,"Jordan Gay","K",NA,0,0,0,0,0,NA,2015
2543781,0,NA,0,NA,3,"Zach Hocker","K",NA,0,0,0,0,0,NA,2015
2550325,0,NA,0,NA,3,"Chandler Catanzaro","K",NA,0,0,0,0,0,NA,2015
2550380,0,NA,0,NA,3,"Cody Parkey","K",NA,0,0,0,0,0,NA,2015
2550545,0,NA,0,NA,3,"Chris Boswell","K",NA,0,0,0,0,0,NA,2015
2550551,0,NA,0,NA,3,"Travis Coons","K",NA,0,0,0,0,0,NA,2015
2550636,0,NA,0,NA,3,"Cairo Santos","K",NA,0,0,0,0,0,NA,2015
2553648,0,NA,0,NA,3,"Andrew Franks","K",NA,0,0,0,0,0,NA,2015
2553833,0,NA,0,NA,3,"Josh Lambo","K",NA,0,0,0,0,0,NA,2015
71309,0,NA,NA,NA,5,"Graham Gano","K",NA,NA,NA,NA,NA,NA,NA,2015
89802,0,NA,NA,NA,5,"Ryan Succop","K",NA,NA,NA,NA,NA,NA,NA,2015
2495150,0,NA,NA,NA,5,"Kai Forbath","K",NA,NA,NA,NA,NA,NA,NA,2015
2495259,0,NA,NA,NA,5,"Dan Bailey","K",NA,NA,NA,NA,NA,NA,NA,2015
2500351,0,NA,NA,NA,5,"Phil Dawson","K",NA,NA,NA,NA,NA,NA,NA,2015
2503471,0,NA,NA,NA,5,"Adam Vinatieri","K",NA,NA,NA,NA,NA,NA,NA,2015
2504257,0,NA,NA,NA,5,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2015
2504797,0,NA,NA,NA,5,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2015
2506194,0,NA,NA,NA,5,"Nick Novak","K",NA,NA,NA,NA,NA,NA,NA,2015
2506264,0,NA,NA,NA,5,"Robbie Gould","K",NA,NA,NA,NA,NA,NA,NA,2015
2506677,0,NA,NA,NA,5,"Matt Prater","K",NA,NA,NA,NA,NA,NA,NA,2015
2506922,0,NA,NA,NA,5,"Stephen Gostkowski","K",NA,NA,NA,NA,NA,NA,NA,2015
2507225,0,NA,NA,NA,5,"Nick Folk","K",NA,NA,NA,NA,NA,NA,NA,2015
2507232,0,NA,NA,NA,5,"Mason Crosby","K",NA,NA,NA,NA,NA,NA,NA,2015
2507374,0,NA,NA,NA,5,"Steven Hauschka","K",NA,NA,NA,NA,NA,NA,NA,2015
2507401,0,NA,NA,NA,5,"Dan Carpenter","K",NA,NA,NA,NA,NA,NA,NA,2015
2507463,0,NA,NA,NA,5,"Connor Barth","K",NA,NA,NA,NA,NA,NA,NA,2015
2532968,0,NA,NA,NA,5,"Blair Walsh","K",NA,NA,NA,NA,NA,NA,NA,2015
2533444,0,NA,NA,NA,5,"Randy Bullock","K",NA,NA,NA,NA,NA,NA,NA,2015
2534797,0,NA,NA,NA,5,"Greg Zuerlein","K",NA,NA,NA,NA,NA,NA,NA,2015
2536340,0,NA,NA,NA,5,"Justin Tucker","K",NA,NA,NA,NA,NA,NA,NA,2015
2539227,0,NA,NA,NA,5,"Dustin Hopkins","K",NA,NA,NA,NA,NA,NA,NA,2015
2539637,0,NA,NA,NA,5,"Caleb Sturgis","K",NA,NA,NA,NA,NA,NA,NA,2015
2541556,0,NA,NA,NA,5,"Brandon McManus","K",NA,NA,NA,NA,NA,NA,NA,2015
