"trim_name","gsis_id","season","last_name","first_name","team","name","position","age","team_rank","overall","speed","strength","agility","acceleration","awareness","catch","carrying","throw_power","throw_accuracy","trucking","elusiveness","bc_vision","stiff_arm","spin_move","juke_move","route","catch_in_traffic","spec._catch","release","jumping","throw_accuracy_short","throw_accuracy_mid","throw_accuracy_deep","throw_on_the_run","playaction","tackle","hit_power","power_moves","finesse_moves","block_shedding","pursuit","play_recognition","man_coverage","zone_coverage","press","kick_power","kick_accuracy","impact_blocking","run_block","pass_block","kick_return","toughness","stamina","injury","throw_under_pressure","break_sack","break_tackle","lead_block","run_block_power","pass_block_power","run_block_finesse","pass_block_finesse","short_route_runing","medium_route_running","deep_route_running","player_id"
"AARONADAMS","0",2014,"Aaron","Adams","Packers","Aaron Adams","LT",NA,2,62,59,79,61,72,62,40,35,25,5,35,30,25,10,10,10,28,35,25,35,72,5,5,5,5,5,45,40,40,30,40,50,30,12,15,10,21,19,66,75,78,9.978667,75,79,90,10.7525,12.02667,18.27783,70.7455,72.81167,76.046,73.65017,74.77367,27.15367,17.45783,11.25967,2541574
"AARONBERRY","0",2014,"Aaron","Berry","Browns","Aaron Berry","CB",NA,4,70,88,55,88,90,65,53,45,25,5,35,76,62,35,69,79,20,20,25,12,87,5,5,5,5,5,57,47,24,25,37,65,59,73,80,77,10,11,45,45,45,56.41133,65,91,79,13.0635,14.269,60.45367,16.07083,34.03967,37.28483,35.50217,35.08883,21.95067,17.29067,18.3075,2507891
"AARONBREWER","0",2018,"Brewer","Aaron","Cardinals","Aaron Brewer","TE",28,7,44,71,68,65,84,67,55,50,14,6,50,35,39,55,40,35,42,45,40,12,73,6,6,6,6,6,55,52,50,35,58,60,35,30,35,25,13,13,68,53,57,10,69,84,92,10,15,20,53,40,50,35,40,47,42,37,2535529
"AARONBREWER","0",2014,"Aaron","Brewer","Broncos","Aaron Brewer","TE",NA,6,51,70,68,65,66,67,55,50,14,5,50,35,39,55,40,35,47,45,40,12,73,5,5,5,5,5,55,52,50,35,58,60,35,30,35,25,13,13,68,76,67,10.195,69,84,92,10.79817,13.62183,23.4115,58.50483,67.3815,62.17217,64.87717,59.43217,44.73417,39.05133,33.2855,2535529
"AARONBREWER","0",2015,"Brewer","Aaron","Broncos","Aaron Brewer","TE",NA,6,53,71,68,65,83,67,55,50,14,6,50,35,39,55,40,35,47,45,40,12,73,6,6,6,6,6,55,52,50,35,58,60,35,30,35,25,13,13,68,76,67,10,69,84,92,10.59983,13.65283,22.79483,58.61633,68.10967,62.17217,65.05783,59.34817,44.66817,38.7445,33.74767,2535529
"AARONBREWER","0",2017,"Brewer","Aaron","Cardinals","Aaron Brewer","TE",NA,6,45,72,68,65,84,67,55,50,14,15,50,35,39,55,40,35,47,45,40,12,73,6,6,6,6,6,55,52,50,35,58,60,35,30,35,25,13,13,68,53,67,10,69,84,92,11.26917,13.735,22.35633,56.24383,44.47767,59.7915,41.34533,56.86767,44.359,39.96333,34.56667,2535529
"AARONBREWER","0",2016,"Brewer","Aaron","Bears","Aaron Brewer","TE",NA,7,45,71,68,65,83,67,55,50,14,15,50,35,39,55,40,35,47,45,40,12,73,6,6,6,6,6,55,52,50,35,58,60,35,30,35,25,13,13,68,54,67,10,69,84,92,11.37417,13.77,22.33633,56.45183,48.45667,59.9555,43.1335,56.761,44.389,40.06233,34.56667,2535529
"AARONBURBRIDGE","00-0032441",2018,"Burbridge","Aaron","49ers","Aaron Burbridge","WR",24,8,65,89,69,86,89,63,76,69,27,10.33333333,69,62,76,54,70,71,74,71,82,61,86,15,10,6,10,6,29,15,11,11,27,34,21,16,24,16,23,22,45,47,42,35,81,88,90,17,22,66,25,29,21,23,19,74,75,73,2555362
"AARONBURBRIDGE","00-0032441",2016,"Burbridge","Aaron","49ers","Aaron Burbridge","WR",NA,7,63,89,74,86,89,51,74,70,27,20,69,62,76,54,70,71,75,70,82,61,86,15,10,6,10,6,29,15,11,11,27,34,21,16,24,16,23,22,45,54,42,35,81,88,90,18.8,21.42617,65.61167,27.11783,34.90583,21.80217,28.49567,21.97483,66.43383,61.865,65.93133,2555362
"AARONBURBRIDGE","00-0032441",2017,"Burbridge","Aaron","49ers","Aaron Burbridge","WR",NA,7,67,89,69,86,89,65,76,69,27,20,69,62,76,54,70,71,75,71,82,61,86,15,10,6,10,6,29,15,11,11,27,34,21,16,24,16,23,22,45,54,42,35,81,88,90,18.7435,21.4845,65.8655,26.37717,34.43533,21.84033,27.42083,20.63617,69.3025,65.47083,70.5695,2555362
