"player_id","trim_name","player_name","position","status","draft_year","years_played","gsis_id"
182,"XAVIERADIBI","Xavier Adibi","LB","RET",2008,5,NA
184,"DONNIEAVERY","Donnie Avery","WR","RET",2008,7,"00-0026173"
188,"KENTWANBALMER","Kentwan Balmer","DL","RET",2008,5,NA
190,"BEAUBELL","Beau Bell","LB","RET",2008,2,NA
196,"COLTBRENNAN","Colt Brennan","QB","RET",2008,3,NA
198,"BRIANBROHM","Brian Brohm","QB","RET",2008,3,"00-0026196"
200,"REDBRYANT","Red Bryant","DL","RET",2008,9,NA
202,"KEENANBURTON","Keenan Burton","WR","RET",2008,3,"00-0026268"
204,"EZRABUTLER","Ezra Butler","LB","RET",2010,3,NA
206,"ANDRECALDWELL","Andre Caldwell","WR","RET",2008,9,"00-0026237"
208,"ANTOINECASON","Antoine Cason","CB","RET",2008,7,NA
210,"GOSDERCHERILUS","Gosder Cherilus","OL","RET",2008,9,NA
212,"DANCONNOR","Dan Connor","LB","RET",2008,6,NA
214,"SHAWNCRABLE","Shawn Crable","LB","RET",2008,3,NA
216,"FREDDAVIS","Fred Davis","TE","RET",2008,6,"00-0026188"
218,"CHRISDEMAREE","Chris Demaree","DL","RET",2008,9,NA
220,"EARLYDOUCET","Early Doucet","WR","RET",2008,5,"00-0026221"
224,"JOLONNDUNBAR","JoLonn Dunbar","LB","RET",2008,8,NA
226,"CHRISELLIS","Chris Ellis","DL","RET",2008,2,NA
226,"CHRISELLIS","Chris Ellis","LB","RET",2010,2,NA
228,"SEDRICKELLIS","Sedrick Ellis","DL","RET",2008,5,NA
230,"JEROMEFELTON","Jerome Felton","RB","RET",2008,9,"00-0026286"
232,"ROBERTFELTON","Robert Felton","OL","RET",2008,1,NA
234,"MATTFORTE","Matt Forte","RB","RET",2008,10,"00-0026184"
238,"JOHNGRECO","John Greco","OT","ACT",2007,11,NA
240,"QUENTINGROVES","Quentin Groves","DL","RET",2008,4,NA
240,"QUENTINGROVES","Quentin Groves","LB","RET",2010,6,NA
242,"DJHALL","DJ Hall","WR","RET",2008,1,NA
244,"VINCEHALL","Vince Hall","LB","RET",2008,1,NA
246,"MIKEHART","Mike Hart","RB","RET",2008,3,"00-0026342"
248,"LAVELLEHAWKINS","Lavelle Hawkins","WR","RET",2008,7,"00-0026266"
250,"JOEYHAYNOS","Joey Haynos","TE","RET",2008,5,"00-0026026"
252,"CHADHENNE","Chad Henne","QB","ACT",2007,11,"00-0026197"
254,"ALIHIGHSMITH","Ali Highsmith","LB","RET",2008,2,NA
256,"LEXHILLIARD","Lex Hilliard","RB","RET",2008,6,"00-0026344"
258,"TONYHILLS","Tony Hills","OL","RET",2008,9,NA
268,"STEVEJUSTICE","Steve Justice","OL","RET",2008,3,NA
272,"SPENCERLARSEN","Spencer Larsen","RB","RET",2008,6,NA
274,"KORYLICHTENSTEIGER","Kory Lichtensteiger","OL","RET",2008,9,NA
276,"CHRISLONG","Chris Long","DE","ACT",2007,11,"00-0026142"
278,"JAKELONG","Jake Long","OL","RET",2008,9,NA
286,"MIKEMCGLYNN","Mike McGlynn","OL","RET",2008,8,NA
290,"FRANKOKAM","Frank Okam","DL","RET",2008,6,NA
292,"JEFFOTAH","Jeff Otah","OL","RET",2008,4,NA
294,"MIKEPOLLAK","Mike Pollak","OL","RET",2008,7,NA
296,"CARLTONPOWELL","Carlton Powell","DL","RET",2008,5,NA
298,"DREWRADOVICH","Drew Radovich","OL","RET",2008,3,NA
300,"CHADRINEHART","Chad Rinehart","OL","RET",2008,7,NA
302,"KEITHRIVERS","Keith Rivers","LB","RET",2008,7,NA
304,"DARRELLROBERTSON","Darrell Robertson","DL","RET",2008,1,NA
308,"MARTINRUCKER","Martin Rucker","TE","RET",2008,5,NA
310,"MATTRYAN","Matt Ryan","QB","ACT",2007,11,"00-0026143"
312,"OWENSCHMITT","Owen Schmitt","RB","RET",2008,5,"00-0026303"
314,"ROYSCHUENING","Roy Schuening","OL","RET",2008,4,NA
316,"JAMIESILVA","Jamie Silva","CB","RET",2008,3,NA
318,"JEROMESIMPSON","Jerome Simpson","WR","RET",2008,9,"00-0026186"
322,"LIMASSWEED","Limas Sweed","WR","RET",2008,4,NA
324,"JACOBTAMME","Jacob Tamme","TE","RET",2008,9,"00-0026267"
326,"TERRELLTHOMAS","Terrell Thomas","CB","RET",2008,7,NA
328,"TERRENCEWHEATLEY","Terrence Wheatley","CB","RET",2008,5,NA
336,"ERICYOUNG","Eric Young","OL","RET",2008,4,NA
363,"ERIKAINGE","Erik Ainge","QB","RET",2008,3,NA
365,"ALEXBRINK","Alex Brink","QB","RET",2008,2,NA
367,"MATTFLYNN","Matt Flynn","QB","RET",2008,8,"00-0026349"
371,"KEVINOCONNELL","Kevin OConnell","QB","RET",2008,5,NA
382,"JOEFLACCO","Joe Flacco","QB","ACT",2007,11,"00-0026158"
384,"ANTHONYMORELLI","Anthony Morelli","QB","RET",2008,1,NA
660,"BRANDENALBERT","Branden Albert","OL","RET",2008,9,NA
729,"HUSAINABDULLAH","Husain Abdullah","CB","RET",2008,7,"00-0025940"
733,"EARLBENNETT","Earl Bennett","WR","RET",2008,6,"00-0026210"
735,"DAVONEBESS","Davone Bess","WR","RET",2008,6,"00-0026000"
739,"BARRYBOOKER","Barry Booker","DL","RET",2008,1,NA
742,"ANTHONYALRIDGE","Anthony Alridge","RB","RET",2008,1,NA
742,"ANTHONYALRIDGE","Anthony Alridge","WR","RET",2009,1,NA
744,"CALAISCAMPBELL","Calais Campbell","DT","ACT",2007,11,"00-0026190"
746,"RYANCLADY","Ryan Clady","OL","RET",2008,9,NA
748,"DENNISDIXON","Dennis Dixon","QB","RET",2008,7,"00-0026296"
750,"FRANKLINDUNBAR","Franklin Dunbar","OL","RET",2008,1,NA
754,"BRANDONFLOWERS","Brandon Flowers","CB","RET",2008,9,NA
756,"VERNONGHOLSTON","Vernon Gholston","LB","RET",2008,3,NA
756,"VERNONGHOLSTON","Vernon Gholston","DL","RET",2010,2,NA
758,"BRENOGIACOMINI","Breno Giacomini","OT","ACT",2007,11,NA
760,"JUSTINHARPER","Justin Harper","WR","RET",2008,4,NA
762,"DERRICKHARVEY","Derrick Harvey","DL","RET",2008,4,NA
764,"GENOHAYES","Geno Hayes","LB","RET",2008,7,NA
766,"MARCUSHOWARD","Marcus Howard","DL","RET",2008,2,NA
766,"MARCUSHOWARD","Marcus Howard","LB","RET",2010,1,NA
768,"STEVEJOHNSON","Steve Johnson","WR","RET",2008,9,"00-0026364"
772,"TREVORLAWS","Trevor Laws","DL","RET",2008,5,NA
774,"CURTISLOFTON","Curtis Lofton","LB","RET",2008,8,NA
776,"JERODMAYO","Jerod Mayo","LB","RET",2008,8,NA
778,"PHILLIPMERLING","Phillip Merling","DL","RET",2008,6,NA
780,"DJPARKER","DJ Parker","CB","RET",2008,1,NA
782,"CHILORACHAL","Chilo Rachal","OL","RET",2008,6,NA
784,"DARIUSREYNAUD","Darius Reynaud","RB","RET",2013,1,NA
784,"DARIUSREYNAUD","Darius Reynaud","WR","RET",2008,6,NA
788,"PEDROSOSA","Pedro Sosa","OL","RET",2008,1,NA
790,"KYLEWRIGHT","Kyle Wright","QB","RET",2008,1,NA
792,"JONATHANZENON","Jonathan Zenon","CB","RET",2008,1,NA
804,"DEMETRESSBELL","Demetress Bell","OL","RET",2008,6,NA
806,"MARKBRADFORD","Mark Bradford","WR","RET",2008,2,NA
808,"DUANEBROWN","Duane Brown","OT","ACT",2007,11,NA
816,"ANDREWCRUMMEY","Andrew Crummey","OL","RET",2008,3,NA
820,"MIKEGIBSON","Mike Gibson","OL","RET",2008,6,NA
822,"DAVIDHALE","David Hale","OL","RET",2008,3,NA
830,"MARCUSMONK","Marcus Monk","WR","RET",2008,2,NA
832,"JOSHMORGAN","Josh Morgan","WR","RET",2008,8,"00-0026314"
834,"SHAWNMURPHY","Shawn Murphy","OL","RET",2008,4,NA
836,"TYLERPOLUMBUS","Tyler Polumbus","OL","RET",2008,8,NA
838,"BARRYRICHARDSON","Barry Richardson","OL","RET",2008,6,NA
840,"WILLROBINSON","Will Robinson","OL","RET",2008,5,NA
842,"GEOFFSCHWARTZ","Geoff Schwartz","OL","RET",2008,9,NA
844,"DONALDTHOMAS","Donald Thomas","OL","RET",2008,8,NA
923,"CORYBOYD","Cory Boyd","RB","RET",2008,1,NA
927,"JUSTINFORSETT","Justin Forsett","RB","RET",2008,9,"00-0026373"
929,"BENJARVUSGREENELLIS","BenJarvus GreenEllis","RB","RET",2008,7,"00-0025860"
931,"FELIXJONES","Felix Jones","RB","RET",2008,6,NA
933,"RAFAELLITTLE","Rafael Little","RB","RET",2008,2,NA
935,"KREGGLUMPKIN","Kregg Lumpkin","RB","RET",2008,5,"00-0026029"
939,"RASHARDMENDENHALL","Rashard Mendenhall","RB","RET",2008,6,"00-0026163"
941,"RAYRICE","Ray Rice","RB","RET",2008,7,"00-0026195"
943,"DANTRELLSAVAGE","Dantrell Savage","RB","RET",2008,3,"00-0026453"
945,"STEVESLATON","Steve Slaton","RB","RET",2008,5,"00-0026229"
