"playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush1st","rush40","rec1st","rec40","returnYds","returnTds","twoPts","rush100","rush150","rush200","regTds","season"
230,2,6,0,3,28,0,0,-1,"Jerome Felton","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
234,132,519,3.1,30,261,1.4,1.7,-1,"Matt Forte","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
262,60,232,1.2,6,44,0.3,1.5,-1,"Chris Johnson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
284,137,579,1.9,26,213,0.6,2.8,-1,"Darren McFadden","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
925,109,421,4.1,34,286,1.6,4.8,-1,"Jamaal Charles","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
949,176,729,5.2,13,108,0.7,3.5,-1,"Jonathan Stewart","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
4327,85,372,2.1,62,473,3.5,1,-1,"Danny Woodhead","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
4383,105,440,2.4,11,100,0.4,1.6,-1,"Tim Hightower","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
4433,10,20,0.1,26,278,1.2,0,-1,"Marcel Reece","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
79607,243,1250,9.1,52,365,1.5,1,-1,"LeSean McCoy","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
89798,8,29,0.1,3,38,0,0.5,-1,"Antone Smith","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
163982,2,3,0.1,3,22,0.1,0.1,-1,"Will Johnson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
497145,11,40,0.5,3,34,0,0.1,-1,"Joique Bell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
497149,183,688,5.4,17,98,0.6,1.8,-1,"LeGarrette Blount","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
497204,18,68,0.5,11,76,1,0.6,-1,"C.J. Spiller","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495207,247,1017,5.7,52,372,2.5,1.8,-1,"DeMarco Murray","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495258,13,45,0.6,4,37,0,0.1,-1,"Matt Asiata","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495328,156,663,3.1,60,416,2,1.2,-1,"Bilal Powell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495340,0,0,0,2,9,0,0,-1,"Anthony Sherman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495466,190,829,5.2,52,367,2.7,2.5,-1,"Mark Ingram","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495467,2,5,0,1,14,0.1,0.2,-1,"Taiwan Jones","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495469,119,535,2.9,22,174,1,3.7,-1,"Dion Lewis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495471,94,401,1.6,13,103,0.5,1.3,-1,"Jacquizz Rodgers","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495473,53,229,1.5,34,271,1.2,3.5,-1,"Shane Vereen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2495663,181,743,8.4,31,183,0.8,1.3,-1,"Marshawn Lynch","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2506147,19,40,4.2,19,96,0.8,0,-1,"John Kuhn","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2506404,183,681,3.2,27,197,2.1,2,-1,"Frank Gore","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2506467,91,393,2.1,54,407,2.2,1.2,-1,"Darren Sproles","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2506874,3,1,0.1,2,20,0,0.2,-1,"Reggie Bush","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2507164,139,589,4.2,22,139,0.6,4.9,-1,"Adrian Peterson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
